order_id,order_date,product,category,store,quantity,unit_price,revenue
O100058,2023-08-27,HDMI Cable,Accessories,Central,3,14.99,44.97
O100059,2023-10-05,Keyboard,Peripherals,East,2,29.99,59.98
O100060,2023-05-24,Charger,Accessories,East,1,49.99,49.99
O100061,2023-09-26,Laptop Stand,Accessories,East,4,24.99,99.96
O100062,2023-07-24,Keyboard,Peripherals,West,2,149.99,299.98
O100063,2023-05-14,Webcam,Peripherals,East,1,79.99,79.99
O100064,2024-06-20,Earbuds,Audio,West,2,199.99,399.98
O100065,2023-01-07,Earbuds,Audio,West,1,19.99,19.99
O100066,2023-02-22,Webcam,Peripherals,East,4,29.99,119.96
O100067,2023-04-14,Phone Case,Accessories,West,4,14.99,59.96
O100068,2024-06-07,Webcam,Peripherals,East,2,199.99,399.98
O100069,2024-01-09,USB-C Cable,Accessories,West,2,24.99,49.98
O100070,2024-04-21,Phone Case,Accessories,Central,3,149.99,449.97
O100071,2023-04-19,Monitor,Displays,Central,3,9.99,29.97
O100072,2024-01-25,Wireless Mouse,Peripherals,West,4,79.99,319.96
O100073,2023-07-19,Phone Case,Accessories,Central,1,29.99,29.99
O100074,2023-09-22,Charger,Accessories,East,2,149.99,299.98
O100075,2023-01-03,Keyboard,Peripherals,East,1,29.99,29.99
O100076,2023-11-30,HDMI Cable,Accessories,West,4,14.99,59.96
O100077,2024-03-24,Monitor,Displays,West,2,149.99,299.98
O100078,2023-12-25,Laptop Stand,Accessories,Central,3,79.99,239.96999999999997
O100079,2023-03-25,Phone Case,Accessories,West,4,9.99,39.96
O100080,2023-10-16,Earbuds,Audio,East,3,14.99,44.97
O100081,2023-05-25,USB-C Cable,Accessories,West,1,24.99,24.99
O100082,2024-06-05,Keyboard,Peripherals,East,4,79.99,319.96
O100083,2024-04-20,Wireless Mouse,Peripherals,Central,4,149.99,599.96
O100084,2023-04-11,Monitor,Displays,East,2,9.99,19.98
O100085,2023-10-03,Phone Case,Accessories,East,4,24.99,99.96
O100086,2024-05-22,Laptop Stand,Accessories,East,4,199.99,799.96
O100087,2024-04-02,HDMI Cable,Accessories,East,3,149.99,449.97
O100088,2024-01-18,Laptop Stand,Accessories,West,2,9.99,19.98
O100089,2023-12-12,Laptop Stand,Accessories,East,2,79.99,159.98
O100090,2023-01-23,USB-C Cable,Accessories,East,2,149.99,299.98
O100091,2024-02-05,Keyboard,Peripherals,West,1,9.99,9.99
O100092,2023-09-13,Laptop Stand,Accessories,West,1,24.99,24.99
O100093,2023-02-19,USB-C Cable,Accessories,East,1,24.99,24.99
O100094,2023-05-13,Webcam,Peripherals,West,4,149.99,599.96
O100095,2023-10-20,Webcam,Peripherals,East,2,79.99,159.98
O100096,2024-01-28,Laptop Stand,Accessories,East,1,49.99,49.99
O100097,2023-10-02,Webcam,Peripherals,East,4,29.99,119.96
O100098,2023-11-27,HDMI Cable,Accessories,East,3,14.99,44.97
O100099,2024-04-15,Laptop Stand,Accessories,Central,1,79.99,79.99
O100100,2024-01-06,HDMI Cable,Accessories,East,2,29.99,59.98
O100101,2023-07-15,USB-C Cable,Accessories,West,4,199.99,799.96
O100102,2023-12-14,USB-C Cable,Accessories,West,2,9.99,19.98
O100103,2023-11-20,Laptop Stand,Accessories,West,3,79.99,239.96999999999997
O100104,2023-02-28,Phone Case,Accessories,West,3,29.99,89.97
O100105,2023-02-01,Earbuds,Audio,East,1,29.99,29.99
O100106,2023-12-23,Keyboard,Peripherals,East,1,199.99,199.99
O100107,2023-07-29,HDMI Cable,Accessories,East,1,149.99,149.99
O100108,2023-11-20,Webcam,Peripherals,Central,4,24.99,99.96
O100109,2023-06-24,Webcam,Peripherals,East,3,24.99,74.97
O100110,2023-05-02,HDMI Cable,Accessories,East,1,24.99,24.99
O100111,2023-03-23,Keyboard,Peripherals,West,3,9.99,29.97
O100112,2023-07-26,Webcam,Peripherals,West,1,19.99,19.99
O100113,2024-03-16,Laptop Stand,Accessories,West,2,19.99,39.98
O100114,2023-08-05,Charger,Accessories,East,3,29.99,89.97
O100115,2023-07-24,USB-C Cable,Accessories,East,4,49.99,199.96
O100116,2023-11-07,Charger,Accessories,Central,2,199.99,399.98
O100117,2024-06-12,Laptop Stand,Accessories,East,1,199.99,199.99
O100118,2023-07-31,Wireless Mouse,Peripherals,East,1,79.99,79.99
O100119,2023-11-15,Charger,Accessories,Central,2,49.99,99.98
O100120,2023-08-26,Laptop Stand,Accessories,East,3,19.99,59.97
O100121,2023-11-23,Charger,Accessories,Central,1,19.99,19.99
O100122,2023-08-29,Webcam,Peripherals,East,3,29.99,89.97
O100123,2023-12-11,Wireless Mouse,Peripherals,West,3,199.99,599.97
O100124,2023-10-23,Webcam,Peripherals,West,1,79.99,79.99
O100125,2024-01-01,Monitor,Displays,West,1,24.99,24.99
O100126,2024-05-31,Laptop Stand,Accessories,Central,1,49.99,49.99
O100127,2023-03-23,Charger,Accessories,East,1,19.99,19.99
O100128,2023-10-31,Charger,Accessories,West,1,9.99,9.99
O100129,2023-08-26,HDMI Cable,Accessories,Central,4,29.99,119.96
O100130,2023-07-13,Webcam,Peripherals,East,1,19.99,19.99
O100131,2023-05-10,HDMI Cable,Accessories,West,3,24.99,74.97
O100132,2023-01-29,Webcam,Peripherals,West,4,149.99,599.96
O100133,2023-08-06,Charger,Accessories,West,3,14.99,44.97
O100134,2024-03-22,Laptop Stand,Accessories,West,2,49.99,99.98
O100135,2023-02-22,USB-C Cable,Accessories,West,3,79.99,239.96999999999997
O100136,2023-08-08,Webcam,Peripherals,West,1,29.99,29.99
O100137,2024-06-06,Earbuds,Audio,Central,3,79.99,239.96999999999997
O100138,2024-05-28,Laptop Stand,Accessories,West,2,9.99,19.98
O100139,2023-04-27,Charger,Accessories,Central,1,199.99,199.99
O100140,2023-01-05,Monitor,Displays,West,1,199.99,199.99
O100141,2023-12-29,Laptop Stand,Accessories,East,3,14.99,44.97
O100142,2023-01-08,Keyboard,Peripherals,East,4,49.99,199.96
O100143,2023-06-12,Webcam,Peripherals,East,1,199.99,199.99
O100144,2023-09-26,Earbuds,Audio,East,2,14.99,29.98
O100145,2024-04-17,HDMI Cable,Accessories,East,2,149.99,299.98
O100146,2023-02-20,USB-C Cable,Accessories,West,2,29.99,59.98
O100147,2023-12-24,HDMI Cable,Accessories,West,2,19.99,39.98
O100148,2023-10-15,Monitor,Displays,West,3,199.99,599.97
O100149,2023-03-13,Wireless Mouse,Peripherals,East,1,29.99,29.99
O100150,2024-04-01,Monitor,Displays,West,3,14.99,44.97
O100151,2024-04-01,Monitor,Displays,East,1,49.99,49.99
O100152,2023-09-18,Webcam,Peripherals,Central,4,49.99,199.96
O100153,2024-05-25,Keyboard,Peripherals,East,3,19.99,59.97
O100154,2023-11-24,Charger,Accessories,East,4,79.99,319.96
O100155,2024-05-03,Earbuds,Audio,West,3,9.99,29.97
O100156,2024-06-02,Webcam,Peripherals,East,3,49.99,149.97
O100157,2023-11-04,HDMI Cable,Accessories,Central,2,149.99,299.98
O100158,2023-06-01,Earbuds,Audio,West,4,79.99,319.96
O100159,2023-03-20,Monitor,Displays,East,2,14.99,29.98
O100160,2023-10-31,Monitor,Displays,East,1,149.99,149.99
O100161,2023-04-14,Monitor,Displays,East,1,29.99,29.99
O100162,2024-02-10,USB-C Cable,Accessories,West,3,9.99,29.97
O100163,2024-05-16,Phone Case,Accessories,East,3,24.99,74.97
O100164,2023-05-13,Phone Case,Accessories,East,2,19.99,39.98
O100165,2023-10-26,Monitor,Displays,West,3,199.99,599.97
O100166,2023-01-27,HDMI Cable,Accessories,East,1,24.99,24.99
O100167,2023-04-08,Earbuds,Audio,Central,4,49.99,199.96
O100168,2023-07-23,HDMI Cable,Accessories,West,1,49.99,49.99
O100169,2024-04-22,Phone Case,Accessories,West,1,24.99,24.99
O100170,2024-06-07,Monitor,Displays,Central,2,14.99,29.98
O100171,2023-12-13,HDMI Cable,Accessories,Central,4,199.99,799.96
O100172,2023-11-12,Keyboard,Peripherals,East,1,19.99,19.99
O100173,2023-11-04,Phone Case,Accessories,West,4,24.99,99.96
O100174,2023-02-02,USB-C Cable,Accessories,East,2,24.99,49.98
O100175,2023-07-23,Laptop Stand,Accessories,East,2,79.99,159.98
O100176,2024-06-14,Charger,Accessories,East,1,9.99,9.99
O100177,2023-08-10,USB-C Cable,Accessories,East,3,19.99,59.97
O100178,2023-04-26,Laptop Stand,Accessories,East,4,199.99,799.96
O100179,2023-05-10,Keyboard,Peripherals,East,4,79.99,319.96
O100180,2024-01-21,Earbuds,Audio,West,1,49.99,49.99
O100181,2023-01-21,Keyboard,Peripherals,East,3,79.99,239.96999999999997
O100182,2024-06-07,Webcam,Peripherals,East,2,24.99,49.98
O100183,2024-04-18,Earbuds,Audio,West,2,149.99,299.98
O100184,2023-11-03,USB-C Cable,Accessories,East,4,149.99,599.96
O100185,2023-09-10,Webcam,Peripherals,West,3,29.99,89.97
O100186,2024-02-16,Earbuds,Audio,East,4,79.99,319.96
O100187,2023-10-23,Monitor,Displays,West,4,14.99,59.96
O100188,2023-09-15,Monitor,Displays,East,4,19.99,79.96
O100189,2023-06-23,Keyboard,Peripherals,West,1,49.99,49.99
O100190,2023-08-30,Earbuds,Audio,Central,3,9.99,29.97
O100191,2024-02-10,Laptop Stand,Accessories,East,2,199.99,399.98
O100192,2023-01-30,HDMI Cable,Accessories,West,1,79.99,79.99
O100193,2023-01-14,Phone Case,Accessories,West,1,19.99,19.99
O100194,2024-01-25,Webcam,Peripherals,East,1,19.99,19.99
O100195,2023-07-20,Keyboard,Peripherals,East,4,9.99,39.96
O100196,2024-03-10,Phone Case,Accessories,Central,3,24.99,74.97
O100197,2023-01-17,Monitor,Displays,East,4,14.99,59.96
O100198,2024-05-04,HDMI Cable,Accessories,West,4,149.99,599.96
O100199,2023-03-08,USB-C Cable,Accessories,West,1,199.99,199.99
O100200,2023-08-13,HDMI Cable,Accessories,Central,2,14.99,29.98
O100201,2024-06-06,Webcam,Peripherals,East,3,9.99,29.97
O100202,2023-02-28,Charger,Accessories,West,3,19.99,59.97
O100203,2023-12-22,Earbuds,Audio,West,3,9.99,29.97
O100204,2024-01-29,Wireless Mouse,Peripherals,Central,1,79.99,79.99
O100205,2023-08-20,Wireless Mouse,Peripherals,East,1,9.99,9.99
O100206,2023-02-12,Wireless Mouse,Peripherals,East,2,14.99,29.98
O100207,2023-10-10,Charger,Accessories,West,3,199.99,599.97
O100208,2023-08-23,Webcam,Peripherals,West,2,79.99,159.98
O100209,2024-04-16,Wireless Mouse,Peripherals,East,3,24.99,74.97
O100210,2024-01-04,Keyboard,Peripherals,West,1,14.99,14.99
O100211,2023-07-05,Webcam,Peripherals,West,2,79.99,159.98
O100212,2023-02-01,Monitor,Displays,West,1,19.99,19.99
O100213,2023-11-15,Phone Case,Accessories,East,3,79.99,239.96999999999997
O100214,2023-05-31,Wireless Mouse,Peripherals,West,3,149.99,449.97
O100215,2024-01-05,USB-C Cable,Accessories,East,4,24.99,99.96
O100216,2024-04-11,Keyboard,Peripherals,East,1,14.99,14.99
O100217,2023-07-11,Charger,Accessories,East,3,79.99,239.96999999999997
O100218,2024-05-02,Laptop Stand,Accessories,Central,1,149.99,149.99
O100219,2023-10-08,HDMI Cable,Accessories,East,3,29.99,89.97
O100220,2023-10-14,Wireless Mouse,Peripherals,Central,4,24.99,99.96
O100221,2024-02-18,USB-C Cable,Accessories,East,1,29.99,29.99
O100222,2024-03-02,Charger,Accessories,East,2,149.99,299.98
O100223,2024-05-05,Laptop Stand,Accessories,East,1,19.99,19.99
O100224,2024-06-23,Phone Case,Accessories,East,3,19.99,59.97
O100225,2023-03-23,Wireless Mouse,Peripherals,Central,4,9.99,39.96
O100226,2023-08-11,Earbuds,Audio,Central,2,9.99,19.98
O100227,2024-05-19,Laptop Stand,Accessories,Central,3,49.99,149.97
O100228,2023-06-16,Charger,Accessories,East,2,199.99,399.98
O100229,2023-01-03,Charger,Accessories,East,4,19.99,79.96
O100230,2023-11-08,USB-C Cable,Accessories,West,1,19.99,19.99
O100231,2024-02-11,Webcam,Peripherals,Central,3,19.99,59.97
O100232,2024-02-06,Laptop Stand,Accessories,East,2,19.99,39.98
O100233,2024-03-13,Phone Case,Accessories,Central,3,149.99,449.97
O100234,2023-12-14,Monitor,Displays,East,2,199.99,399.98
O100235,2023-03-15,Laptop Stand,Accessories,West,3,24.99,74.97
O100236,2024-04-02,Wireless Mouse,Peripherals,West,2,29.99,59.98
O100237,2023-08-15,Monitor,Displays,Central,3,9.99,29.97
O100238,2024-04-02,Phone Case,Accessories,Central,1,14.99,14.99
O100239,2024-03-16,HDMI Cable,Accessories,East,2,49.99,99.98
O100240,2024-06-08,Phone Case,Accessories,West,1,9.99,9.99
O100241,2023-01-08,Charger,Accessories,East,2,29.99,59.98
O100242,2024-04-12,Charger,Accessories,West,1,29.99,29.99
O100243,2023-12-06,Phone Case,Accessories,East,2,9.99,19.98
O100244,2023-09-20,Wireless Mouse,Peripherals,East,4,29.99,119.96
O100245,2024-03-04,Webcam,Peripherals,West,3,24.99,74.97
O100246,2024-05-29,Wireless Mouse,Peripherals,East,3,14.99,44.97
O100247,2023-10-05,Laptop Stand,Accessories,West,1,49.99,49.99
O100248,2023-02-17,Laptop Stand,Accessories,Central,4,149.99,599.96
O100249,2024-01-27,Webcam,Peripherals,East,1,19.99,19.99
O100250,2023-05-05,Charger,Accessories,Central,1,49.99,49.99
O100251,2023-05-03,Charger,Accessories,West,1,199.99,199.99
O100252,2023-04-15,Phone Case,Accessories,East,2,149.99,299.98
O100253,2023-04-18,Webcam,Peripherals,Central,1,149.99,149.99
O100254,2024-05-06,HDMI Cable,Accessories,West,1,24.99,24.99
O100255,2023-07-16,Phone Case,Accessories,West,4,29.99,119.96
O100256,2023-02-27,Phone Case,Accessories,East,3,9.99,29.97
O100257,2023-04-07,Charger,Accessories,Central,3,199.99,599.97
O100258,2023-08-02,Webcam,Peripherals,East,3,9.99,29.97
O100259,2023-07-06,USB-C Cable,Accessories,East,3,9.99,29.97
O100260,2023-06-17,Wireless Mouse,Peripherals,East,4,9.99,39.96
O100261,2024-05-26,Wireless Mouse,Peripherals,East,2,19.99,39.98
O100262,2024-04-12,Webcam,Peripherals,Central,4,199.99,799.96
O100263,2023-11-06,Keyboard,Peripherals,West,1,199.99,199.99
O100264,2024-06-16,Earbuds,Audio,West,4,29.99,119.96
O100265,2023-07-03,Laptop Stand,Accessories,Central,2,29.99,59.98
O100266,2023-03-16,HDMI Cable,Accessories,West,1,19.99,19.99
O100267,2023-05-27,Earbuds,Audio,East,4,14.99,59.96
O100268,2023-02-18,Wireless Mouse,Peripherals,West,3,49.99,149.97
O100269,2024-05-29,Monitor,Displays,West,3,49.99,149.97
O100270,2023-04-29,Monitor,Displays,East,2,29.99,59.98
O100271,2023-08-29,Phone Case,Accessories,East,3,79.99,239.96999999999997
O100272,2023-04-20,HDMI Cable,Accessories,East,4,19.99,79.96
O100273,2024-06-13,USB-C Cable,Accessories,West,2,49.99,99.98
O100274,2023-03-27,HDMI Cable,Accessories,East,1,149.99,149.99
O100275,2023-10-06,Keyboard,Peripherals,Central,1,9.99,9.99
O100276,2024-05-28,Webcam,Peripherals,East,4,24.99,99.96
O100277,2023-10-09,Webcam,Peripherals,East,3,9.99,29.97
O100278,2024-04-30,Wireless Mouse,Peripherals,East,2,14.99,29.98
O100279,2024-04-29,Laptop Stand,Accessories,East,2,24.99,49.98
O100280,2024-02-19,Keyboard,Peripherals,East,1,29.99,29.99
O100281,2024-02-06,Laptop Stand,Accessories,West,2,9.99,19.98
O100282,2023-11-08,Monitor,Displays,Central,4,9.99,39.96
O100283,2023-11-10,Charger,Accessories,East,2,9.99,19.98
O100284,2024-03-24,Phone Case,Accessories,Central,4,199.99,799.96
O100285,2023-08-19,Earbuds,Audio,East,3,49.99,149.97
O100286,2024-05-25,Charger,Accessories,West,1,19.99,19.99
O100287,2024-04-19,Wireless Mouse,Peripherals,East,2,24.99,49.98
O100288,2023-07-22,Charger,Accessories,Central,2,29.99,59.98
O100289,2023-08-11,Phone Case,Accessories,East,3,9.99,29.97
O100290,2024-01-21,Phone Case,Accessories,West,4,19.99,79.96
O100291,2024-05-13,HDMI Cable,Accessories,East,2,149.99,299.98
O100292,2023-02-22,HDMI Cable,Accessories,West,1,14.99,14.99
O100293,2023-02-07,Webcam,Peripherals,East,4,24.99,99.96
O100294,2023-05-14,Webcam,Peripherals,West,3,29.99,89.97
O100295,2023-08-21,Laptop Stand,Accessories,West,2,149.99,299.98
O100296,2023-03-29,Laptop Stand,Accessories,East,3,199.99,599.97
O100297,2023-10-08,Phone Case,Accessories,West,2,49.99,99.98
O100298,2023-10-20,USB-C Cable,Accessories,Central,4,79.99,319.96
O100299,2024-05-28,HDMI Cable,Accessories,East,4,49.99,199.96
O100300,2024-02-07,HDMI Cable,Accessories,West,2,29.99,59.98
O100301,2023-05-16,Keyboard,Peripherals,East,3,24.99,74.97
O100302,2024-02-29,Laptop Stand,Accessories,East,3,24.99,74.97
O100303,2024-03-11,Laptop Stand,Accessories,West,3,79.99,239.96999999999997
O100304,2024-01-03,Keyboard,Peripherals,West,2,19.99,39.98
O100305,2024-01-01,Laptop Stand,Accessories,West,2,19.99,39.98
O100306,2023-06-17,USB-C Cable,Accessories,Central,1,49.99,49.99
O100307,2024-01-23,Monitor,Displays,West,4,19.99,79.96
O100308,2023-03-14,Laptop Stand,Accessories,East,3,29.99,89.97
O100309,2023-12-06,Keyboard,Peripherals,West,2,149.99,299.98
O100310,2024-05-12,HDMI Cable,Accessories,West,3,14.99,44.97
O100311,2024-06-08,HDMI Cable,Accessories,Central,4,14.99,59.96
O100312,2023-06-11,Wireless Mouse,Peripherals,West,4,199.99,799.96
O100313,2023-06-29,Earbuds,Audio,West,4,24.99,99.96
O100314,2023-12-01,Webcam,Peripherals,East,2,29.99,59.98
O100315,2023-08-04,Webcam,Peripherals,Central,3,79.99,239.96999999999997
O100316,2024-01-30,USB-C Cable,Accessories,East,3,199.99,599.97
O100317,2023-04-20,Charger,Accessories,West,4,19.99,79.96
O100318,2023-04-02,Charger,Accessories,Central,3,29.99,89.97
O100319,2023-01-28,HDMI Cable,Accessories,East,3,24.99,74.97
O100320,2023-09-11,Earbuds,Audio,Central,2,149.99,299.98
O100321,2023-04-25,Webcam,Peripherals,East,3,199.99,599.97
O100322,2023-06-11,USB-C Cable,Accessories,East,3,9.99,29.97
O100323,2024-05-09,HDMI Cable,Accessories,West,1,14.99,14.99
O100324,2024-03-15,Phone Case,Accessories,Central,1,49.99,49.99
O100325,2024-03-29,Monitor,Displays,West,4,19.99,79.96
O100326,2023-11-17,Laptop Stand,Accessories,Central,2,14.99,29.98
O100327,2023-03-02,Wireless Mouse,Peripherals,East,4,149.99,599.96
O100328,2024-02-08,Phone Case,Accessories,Central,1,199.99,199.99
O100329,2023-11-23,USB-C Cable,Accessories,East,1,19.99,19.99
O100330,2024-05-05,Wireless Mouse,Peripherals,East,1,49.99,49.99
O100331,2023-09-16,Webcam,Peripherals,East,1,19.99,19.99
O100332,2023-04-04,Monitor,Displays,West,4,14.99,59.96
O100333,2023-11-18,Wireless Mouse,Peripherals,West,3,149.99,449.97
O100334,2023-09-04,Keyboard,Peripherals,West,1,9.99,9.99
O100335,2023-12-23,Webcam,Peripherals,East,4,19.99,79.96
O100336,2023-07-22,USB-C Cable,Accessories,West,4,9.99,39.96
O100337,2023-06-15,Earbuds,Audio,Central,1,199.99,199.99
O100338,2023-03-09,Laptop Stand,Accessories,East,3,29.99,89.97
O100339,2024-06-03,Laptop Stand,Accessories,East,4,149.99,599.96
O100340,2024-02-12,Webcam,Peripherals,Central,2,24.99,49.98
O100341,2023-09-09,Phone Case,Accessories,Central,2,149.99,299.98
O100342,2023-05-07,Wireless Mouse,Peripherals,Central,3,49.99,149.97
O100343,2023-12-06,Charger,Accessories,East,4,19.99,79.96
O100344,2023-08-11,Keyboard,Peripherals,West,4,9.99,39.96
O100345,2023-12-10,Phone Case,Accessories,East,4,14.99,59.96
O100346,2023-02-18,HDMI Cable,Accessories,West,2,199.99,399.98
O100347,2023-04-10,Monitor,Displays,West,2,79.99,159.98
O100348,2024-02-01,Charger,Accessories,East,1,149.99,149.99
O100349,2023-02-03,Webcam,Peripherals,West,2,149.99,299.98
O100350,2024-01-01,Wireless Mouse,Peripherals,East,4,49.99,199.96
O100351,2023-08-11,Keyboard,Peripherals,East,1,19.99,19.99
O100352,2023-01-02,USB-C Cable,Accessories,East,1,24.99,24.99
O100353,2024-02-17,USB-C Cable,Accessories,Central,1,14.99,14.99
O100354,2024-01-13,Wireless Mouse,Peripherals,East,1,199.99,199.99
O100355,2024-03-16,Webcam,Peripherals,Central,3,19.99,59.97
O100356,2024-04-28,Earbuds,Audio,Central,2,149.99,299.98
O100357,2024-01-30,HDMI Cable,Accessories,Central,4,14.99,59.96
O100358,2024-03-30,HDMI Cable,Accessories,Central,3,24.99,74.97
O100359,2023-03-03,USB-C Cable,Accessories,East,4,24.99,99.96
O100360,2024-05-10,HDMI Cable,Accessories,East,2,79.99,159.98
O100361,2024-05-08,HDMI Cable,Accessories,East,2,29.99,59.98
O100362,2024-01-10,Charger,Accessories,East,1,149.99,149.99
O100363,2024-03-09,Wireless Mouse,Peripherals,East,4,49.99,199.96
O100364,2024-02-05,Webcam,Peripherals,Central,4,9.99,39.96
O100365,2024-04-18,HDMI Cable,Accessories,Central,2,9.99,19.98
O100366,2024-04-25,Phone Case,Accessories,Central,1,24.99,24.99
O100367,2023-10-10,Earbuds,Audio,East,4,14.99,59.96
O100368,2024-03-16,Earbuds,Audio,Central,3,19.99,59.97
O100369,2024-05-09,Monitor,Displays,Central,4,14.99,59.96
O100370,2023-06-10,Laptop Stand,Accessories,East,2,199.99,399.98
O100371,2023-01-26,Webcam,Peripherals,East,1,19.99,19.99
O100372,2023-04-02,Wireless Mouse,Peripherals,East,3,79.99,239.96999999999997
O100373,2023-01-17,USB-C Cable,Accessories,West,4,14.99,59.96
O100374,2023-08-23,Earbuds,Audio,Central,1,14.99,14.99
O100375,2023-01-11,HDMI Cable,Accessories,East,3,199.99,599.97
O100376,2023-05-20,Charger,Accessories,West,1,29.99,29.99
O100377,2023-05-17,HDMI Cable,Accessories,East,3,24.99,74.97
O100378,2024-01-17,Charger,Accessories,Central,4,14.99,59.96
O100379,2023-05-15,Monitor,Displays,East,4,14.99,59.96
O100380,2024-05-27,Monitor,Displays,West,3,9.99,29.97
O100381,2023-04-12,Phone Case,Accessories,East,3,49.99,149.97
O100382,2024-06-08,Monitor,Displays,West,1,9.99,9.99
O100383,2023-11-03,Laptop Stand,Accessories,Central,3,199.99,599.97
O100384,2023-05-12,Keyboard,Peripherals,Central,4,19.99,79.96
O100385,2023-01-22,Monitor,Displays,Central,2,149.99,299.98
O100386,2023-06-15,USB-C Cable,Accessories,East,2,19.99,39.98
O100387,2023-11-15,Keyboard,Peripherals,East,4,49.99,199.96
O100388,2023-02-28,Webcam,Peripherals,East,3,49.99,149.97
O100389,2023-03-31,Wireless Mouse,Peripherals,East,4,24.99,99.96
O100390,2023-03-04,Monitor,Displays,East,1,14.99,14.99
O100391,2024-01-02,Laptop Stand,Accessories,Central,1,24.99,24.99
O100392,2023-02-17,Laptop Stand,Accessories,East,3,19.99,59.97
O100393,2023-01-12,Keyboard,Peripherals,East,4,19.99,79.96
O100394,2023-09-04,USB-C Cable,Accessories,Central,4,19.99,79.96
O100395,2023-06-17,Monitor,Displays,Central,2,149.99,299.98
O100396,2023-11-04,Phone Case,Accessories,Central,2,24.99,49.98
O100397,2024-05-21,Phone Case,Accessories,East,1,149.99,149.99
